,InstrumentID,days,InstrumentDisplayName,Symbol
229,1284,13.0,Exor Investment Company,EXO
230,1285,5.0,Fiat Chrysler Automobiles,FCA
231,1286,8.0,Leonardo Finmeccanica,LDO
232,1287,11.0,Generali Group,GASI
233,1288,11.0,Intesa Sanpaolo Group,ISP
234,1289,7.0,Luxottica Group,LUX
235,1290,12.0,Mediobanca Investment Bank,MDBI
236,1291,7.0,Mediolanum Group,MED
237,1292,4.0,Moncler,MONC
238,1293,8.0,Mediaset Group,MS
239,1295,5.0,Bank Of Milano Cooperative Company,PMI
240,1296,1.0,Prysmian Group,PRY
241,1297,4.0,Salvatore Ferragamo Company,SFER
242,1298,4.0,Saipem Oil & Gas Industry,SPM
243,1299,1.0,Snam Group,SRG
244,1300,6.0,STMicroelectronics Company,STM
245,1301,2.0,Ansaldo STS Company,STS
246,1302,10.0,Tenaris Group,TEN
247,1303,4.0,Telecom Italia Group,TLIT
248,1304,15.0,Tods Group,TOD
249,1305,5.0,TERNA Eectricity Group,TRN
250,1306,3.0,UBI Banca Group,UBI
251,1307,7.0,UniCredit Commercial Bank,UCG
252,1308,4.0,UnipolSai multi-business insurance company,US
253,1310,15.0,Yoox Net-A-Porter Group,YNAP
254,1311,2.0,Abertis,ABE
255,1312,1.0,Abengoa B,ABG-P
256,1313,6.0,ACS,ACS
257,1314,6.0,Amadeus IT Hold -A-,AMS
258,1315,5.0,Acciona,ANA
259,1316,8.0,BBVA,BBVA
260,1317,5.0,Bankia S.A,BKIA
261,1318,21.0,Bankinter,BKT
262,1319,8.0,Bolsas Y Mercados,BME
263,1320,5.0,Caixabank,CABK
264,1321,8.0,DIA S.A.,DIAm
265,1322,1.0,Endesa,ELE
266,1323,1.0,Enagas,ENG
267,1324,2.0,Fomento de Construcciones,FCC
268,1325,8.0,Ferrovial,FER
269,1326,10.0,Siemens Gamesa Renewable Energy SA,SGRE
270,1327,5.0,Naturgy Energy Group,Bolsa de Madrid
271,1328,8.0,Grifols A,GRF
272,1330,2.0,Iberdrola,IBE
273,1331,5.0,Indra Sistemas A,IDR
274,1332,10.0,Inditex,ITX
275,1334,8.0,Mapfre,MAP
276,1336,4.0,OHL,OHL
277,1338,9.0,Red Electrica Corp,REE
278,1339,7.0,Repsol,REP
279,1340,6.0,Banco Sabadell,SAB
280,1342,10.0,Sacyr,SCYR
281,1344,6.0,Mediaset Espana,TL5
282,1345,6.0,Tecnicas Reunidas,TRE
283,1346,3.0,Gazprom OAO,OGZDL
284,1349,3.0,Lukoil OAO,LKODL
285,1353,5.0,NOVATEK OAO,NVTKL
286,1357,1.0,Rosneft OAO,ROSNL
287,1358,1.0,Sberbank of Russia,SBERL
288,1360,1.0,Surgutneftegas OAO,SGGDL
289,1361,1.0,Tatneft OAO,ATADL
290,1368,3.0,Qihoo 360 Technology,QIHU
291,1370,1.0,Jumei Intl Holdings,JMEI
292,1371,1.0,ChangYou.com,CYOU
293,1373,1.0,Qunar Cayman Islands,QUNR
294,1377,2.0,NetEase,NTES
295,1378,2.0,JD.com,JD
296,1379,1.0,Trip.com Group Ltd,TCOM
297,1380,1.0,Autohome,ATHM
298,1382,1.0,51Job,JOBS
299,1450,3.0,Accenture PLC,ACN
300,1451,3.0,American Airlines Group Inc,AAL
301,1452,1.0,AbbVie Inc,ABBV
302,1454,1.0,Biogen Inc,BIIB
303,1457,1.0,VIACOMCBS,CBS
304,1458,3.0,Celgene Corp,CELG
305,1459,1.0,Comcast Corp,CMCSA
306,1460,1.0,Capital One Financial Corp,COF
