InstrumentID,InstrumentDisplayName,Exchange,Symbol,ISINCode,ISINCountryCode,
1124,Electronic Arts, Inc.,NASDAQ,EA,US2855121099,US
1125,Urban Outfitters Inc.,NASDAQ,URBN,US9170471026,US,
1126,Adobe Systems Inc,NASDAQ,ADBE,US00724F1012,US,
1127,Netflix, Inc.,NASDAQ,NFLX,US64110L1061,US
1128,Motorola Solutions, Inc.,NYSE,MSI,US6200763075,US
1129,Western Digital Corporation,NASDAQ,WDC,US9581021055,US,
1130,Micron Technology, Inc.,NASDAQ,MU,US5951121038,US
1131,Abercrombie & Fitch Company,NYSE,ANF,US0028962076,US,
1132,WisdomTree Emerging Markets,NYSE,DEM,US97717W3152,US,
1133,American Capital Agency Corp.,NASDAQ,AGNC,US00123Q1040,US,
1134,Autodesk, Inc.,NASDAQ,ADSK,US0527691069,US
1135,Oracle Corporation,NYSE,ORCL,US68389X1054,US,
1136,Lockheed Martin Corporation,NYSE,LMT,US5398301094,US,
1137,NVIDIA Corporation,NASDAQ,NVDA,US67066G1040,US,
1138,FedEx Corporation,NYSE,FDX,US31428X1063,US,
1139,Noble Energy Inc,NYSE,NBL,US6550441058,US,
1140,Avis Budget Group Inc,NASDAQ,CAR,US0537741052,US,
1141,Baidu, Inc.,NASDAQ,BIDU,US0567521085,US
1142,Starbucks Corporation,NASDAQ,SBUX,US8552441094,US,
1143,Amgen Inc,NASDAQ,AMGN,US0311621009,US,
1144,Activision Blizzard, Inc.,NASDAQ,ATVI,US00507V1098,US
1145,Check Point Software Technologies,NASDAQ,CHKP,IL0010824113,US,
1146,Mosaic Co,NYSE,MOS,US61945C1036,US,
1147,PetSmart Inc.,NASDAQ,PETM,US7167681060,US,
1148,Dr Pepper Snapple Group, Inc.,NYSE,KDP,US49271V1008,US
1149,Constellation Brands Inc.,NYSE,STZ,US21036P1084,US,
1153,Twitter,NYSE,TWTR,US90184L1026,US,
1154,King Digital Entertainment PLC,NYSE,KING,IE00BKJ9QQ58,US,
1155,Alibaba,NYSE,BABA,US01609W1027,US,
1156,Spotify ,NYSE,SPOT,LU1778762911,LU,
1157,Dropbox Inc,Nasdaq,DBX,US26210C1045,US,
