StockId,week1,weeks2,weeks3,weeks4,weeks5,weeks6
1914,0.579831933,0.205882353,0.029411765,0.029411765,0.151260504,0.004201681
1915,0.729166667,0.1875,0,0.041666667,0.041666667,0
1916,0.538461538,0.153846154,0,0.076923077,0.230769231,0
1917,0.310588235,0.437647059,0.04,0.013176471,0.198117647,0.000470588
1918,0.533333333,0.3,0.033333333,0,0.133333333,0
1920,0.463928202,0.306869175,0.014152572,0.008974802,0.205039696,0.001035554
1921,1,0,0,0,0,0
1922,0.731707317,0.048780488,0.048780488,0,0.170731707,0
1923,0.470588235,0.279411765,0.014705882,0.044117647,0.191176471,0
1926,0.591269841,0.151785714,0.01984127,0.013888889,0.222222222,0.000992063
1927,0.84,0.08,0.011428571,0,0.068571429,0
1930,0.608695652,0.217391304,0,0.130434783,0.043478261,0
1931,0.666666667,0.208333333,0.083333333,0,0.041666667,0
1932,0.449001052,0.332281809,0.01997897,0.01787592,0.179810726,0.001051525
1933,0.442486571,0.278854972,0.007598585,0.01506616,0.25429058,0.001703131
1934,0.735849057,0.235849057,0.018867925,0,0.009433962,0
1935,0.339989059,0.502461707,0.010530635,0.008615974,0.137718818,0.000683807
1936,0.63003663,0.296703297,0.032967033,0.003663004,0.036630037,0
1937,0.614035088,0.140350877,0.01754386,0,0.228070175,0
1938,0.615384615,0.153846154,0.076923077,0.076923077,0.076923077,0
1939,0.947368421,0.052631579,0,0,0,0
1941,0.442307692,0.403846154,0,0.019230769,0.134615385,0
1945,0.38277512,0.258373206,0.026657553,0.126452495,0.149008886,0.056732741
1946,0.449652778,0.336805556,0.012152778,0.010416667,0.189236111,0.001736111
1949,0.833333333,0.055555556,0.055555556,0,0.055555556,0
1950,0,1,0,0,0,0
1951,0.190900099,0.290306627,0.014342235,0.432245302,0.072205737,0
1952,0.607264472,0.15323496,0.019296254,0.00908059,0.209988649,0.001135074
1953,0.3944334,0.512524851,0.007554672,0.003180915,0.081908549,0.000397614
1954,0.44421629,0.240246407,0.006844627,0.007871321,0.300136893,0.000684463
1955,0.506010929,0.189071038,0.007650273,0.007650273,0.289617486,0
1956,0.817679558,0.060773481,0.016574586,0.055248619,0.049723757,0
1959,0.606557377,0.234972678,0.010928962,0.010928962,0.136612022,0
1960,0.8,0.2,0,0,0,0
1961,0.377431907,0.346303502,0.015564202,0.003891051,0.256809339,0
1962,0.385093168,0.360248447,0.026915114,0.014492754,0.213250518,0
1963,0.416666667,0.333333333,0.166666667,0,0.083333333,0
1965,0.5325,0.215,0.02,0.0125,0.22,0
1966,0.277419355,0.338709677,0.012903226,0.229032258,0.141935484,0
1967,0.384634921,0.385100529,0.016042328,0.006899471,0.206814815,0.000507937
1968,0.415973003,0.328233971,0.016197975,0.026096738,0.169628796,0.043869516
1969,0.289167264,0.433916451,0.010264334,0.014844655,0.250482865,0.00132443
1970,0.305322129,0.353781513,0.013445378,0.010084034,0.317366947,0
1971,0.402024739,0.319965779,0.012226856,0.009695933,0.255801519,0.000285174
1972,0.52522882,0.37901901,0.012203708,0.001173433,0.081905656,0.000469373
1973,0.372195337,0.379014518,0.008798944,0.018477783,0.22041355,0.001099868
1974,0.348273973,0.339287671,0.008109589,0.006575342,0.297205479,0.000547945
1975,0.390417143,0.288388611,0.032564859,0.006320352,0.282008066,0.000300969
1976,0.473036897,0.305581835,0.020813623,0.014191107,0.185430464,0.000946074
1977,0.346962617,0.367990654,0.011292835,0.010903427,0.262071651,0.000778816
